"";"ref.date";"NFSP";"DBGG"
"1";2006-12-01;-3,15;55,48
"2";2007-01-01;-3,49;56,17
"3";2007-02-01;-3,5;56,9
"4";2007-03-01;-3,41;57,24
"5";2007-04-01;-3,41;57,17
"6";2007-05-01;-3,45;57,91
"7";2007-06-01;-3,39;58,23
"8";2007-07-01;-3,4;58,32
"9";2007-08-01;-3,24;58,46
"10";2007-09-01;-3,21;57,88
"11";2007-10-01;-3,24;57,49
"12";2007-11-01;-3,34;57,26
"13";2007-12-01;-3,24;56,72
"14";2008-01-01;-3,39;57,51
"15";2008-02-01;-3,43;57,04
"16";2008-03-01;-3,63;57,09
"17";2008-04-01;-3,61;56,52
"18";2008-05-01;-3,6;55,82
"19";2008-06-01;-3,62;55,6
"20";2008-07-01;-3,72;55,53
"21";2008-08-01;-3,77;54,95
"22";2008-09-01;-3,85;54,83
"23";2008-10-01;-3,98;55,05
"24";2008-11-01;-3,69;54,64
"25";2008-12-01;-3,33;55,98
"26";2009-01-01;-2,89;56,87
"27";2009-02-01;-2,74;57,18
"28";2009-03-01;-2,56;57,47
"29";2009-04-01;-2,3;56,8
"30";2009-05-01;-2,09;57,07
"31";2009-06-01;-1,87;58,34
"32";2009-07-01;-1,6;59,68
"33";2009-08-01;-1,46;60,77
"34";2009-09-01;-1,07;60,8
"35";2009-10-01;-0,94;61
"36";2009-11-01;-1,33;60,22
"37";2009-12-01;-1,94;59,21
"38";2010-01-01;-2,18;59,76
"39";2010-02-01;-2,15;59,03
"40";2010-03-01;-1,88;56,24
"41";2010-04-01;-2,09;56,05
"42";2010-05-01;-2,02;55,96
"43";2010-06-01;-1,96;55,78
"44";2010-07-01;-1,91;55,53
"45";2010-08-01;-1,88;54,98
"46";2010-09-01;-2,75;54,89
"47";2010-10-01;-2,61;55,07
"48";2010-11-01;-2,37;54,65
"49";2010-12-01;-2,62;51,77
"50";2011-01-01;-2,63;52,4
"51";2011-02-01;-2,72;52,37
"52";2011-03-01;-3,03;52,61
"53";2011-04-01;-2,95;52,61
"54";2011-05-01;-3,08;52,22
"55";2011-06-01;-3,31;52,35
"56";2011-07-01;-3,58;52,52
"57";2011-08-01;-3,53;52,29
"58";2011-09-01;-3,03;52,11
"59";2011-10-01;-3,1;51,7
"60";2011-11-01;-3,17;51,76
"61";2011-12-01;-2,94;51,27
"62";2012-01-01;-3,1;51,83
"63";2012-02-01;-3,12;52,22
"64";2012-03-01;-3,02;52,72
"65";2012-04-01;-2,91;53,22
"66";2012-05-01;-2,78;53,27
"67";2012-06-01;-2,53;53,42
"68";2012-07-01;-2,33;53,6
"69";2012-08-01;-2,28;53,33
"70";2012-09-01;-2,12;54,05
"71";2012-10-01;-2,07;54,52
"72";2012-11-01;-1,77;54,65
"73";2012-12-01;-2,18;53,67
"74";2013-01-01;-2,25;53,98
"75";2013-02-01;-1,98;54,03
"76";2013-03-01;-1,82;54,05
"77";2013-04-01;-1,72;53,78
"78";2013-05-01;-1,77;53,92
"79";2013-06-01;-1,81;53,61
"80";2013-07-01;-1,73;53,7
"81";2013-08-01;-1,65;53,44
"82";2013-09-01;-1,43;52,95
"83";2013-10-01;-1,3;53,1
"84";2013-11-01;-1,95;52,73
"85";2013-12-01;-1,71;51,54
"86";2014-01-01;-1,51;52,63
"87";2014-02-01;-1,59;51,84
"88";2014-03-01;-1,57;51,79
"89";2014-04-01;-1,68;52
"90";2014-05-01;-1,37;52,19
"91";2014-06-01;-1,23;52,75
"92";2014-07-01;-1,1;53,17
"93";2014-08-01;-0,84;53,81
"94";2014-09-01;-0,55;55,11
"95";2014-10-01;-0,5;55,43
"96";2014-11-01;0,16;56,01
"97";2014-12-01;0,56;56,28
"98";2015-01-01;0,54;57,16
"99";2015-02-01;0,62;58,28
"100";2015-03-01;0,67;59,49
"101";2015-04-01;0,73;59,11
"102";2015-05-01;0,65;60,2
"103";2015-06-01;0,77;60,75
"104";2015-07-01;0,86;62,17
"105";2015-08-01;0,74;62,97
"106";2015-09-01;0,43;63,65
"107";2015-10-01;0,69;63,93
"108";2015-11-01;0,88;64,28
"109";2015-12-01;1,86;65,5
"110";2016-01-01;1,74;66,51
"111";2016-02-01;2,08;66,65
"112";2016-03-01;2,25;66,33
"113";2016-04-01;2,3;66,62
"114";2016-05-01;2,47;67,58
"115";2016-06-01;2,47;67,51
"116";2016-07-01;2,51;68,71
"117";2016-08-01;2,74;69,33
"118";2016-09-01;3,04;69,97
"119";2016-10-01;2,21;69,78
"120";2016-11-01;2,51;70,83
"121";2016-12-01;2,48;69,84
"122";2017-01-01;2,33;69,81
"123";2017-02-01;2,33;70,39
"124";2017-03-01;2,33;71,24
"125";2017-04-01;2,28;71,38
"126";2017-05-01;2,46;72,33
"127";2017-06-01;2,6;72,74
"128";2017-07-01;2,64;73,18
"129";2017-08-01;2,44;73,62
"130";2017-09-01;2,35;73,71
"131";2017-10-01;2,87;74,11
"132";2017-11-01;2,27;74,03
"133";2017-12-01;1,68;73,72
"134";2018-01-01;1,51;74,03
"135";2018-02-01;1,42;74,5
"136";2018-03-01;1,62;74,6
"137";2018-04-01;1,76;74,95
"138";2018-05-01;1,42;76,12
"139";2018-06-01;1,32;76,12
"140";2018-07-01;1,13;75,94
"141";2018-08-01;1,23;76
"142";2018-09-01;1,27;75,98
"143";2018-10-01;1,22;75,29
"144";2018-11-01;1,42;75,68
"145";2018-12-01;1,55;75,27
"146";2019-01-01;1,54;75,43
"147";2019-02-01;1,5;75,53
"148";2019-03-01;1,4;76,73
"149";2019-04-01;1,35;77,15
"150";2019-05-01;1,4;76,59
"151";2019-06-01;1,39;76,71
"152";2019-07-01;1,37;76,87
"153";2019-08-01;1,32;77,61
"154";2019-09-01;1,26;76,64
"155";2019-10-01;1,23;75,82
"156";2019-11-01;1,22;76,21
"157";2019-12-01;0,84;74,44
"158";2020-01-01;0,71;74,74
"159";2020-02-01;0,78;75,11
"160";2020-03-01;0,85;76,71
"161";2020-04-01;2,2;77,96
"162";2020-05-01;3,81;79,83
"163";2020-06-01;6,17;82,72
"164";2020-07-01;7,21;83,33
"165";2020-08-01;8,19;85,65
"166";2020-09-01;8,75;87,26
"167";2020-10-01;8,81;87,57
"168";2020-11-01;8,81;86,93
"169";2020-12-01;9,24;86,94
"170";2021-01-01;9,14;86,95
"171";2021-02-01;8,92;86,94
"172";2021-03-01;8,41;85,2
"173";2021-04-01;6,76;82,77
"174";2021-05-01;5,23;81,68
"175";2021-06-01;3,67;80,95
"176";2021-07-01;2,79;80,71
"177";2021-08-01;1,53;80,22
"178";2021-09-01;0,61;80,34
"179";2021-10-01;0,23;80,35
"180";2021-11-01;-0,14;79,14
"181";2021-12-01;-0,73;78,29
"182";2022-01-01;-1,21;77,96
"183";2022-02-01;-1,37;77,87
"184";2022-03-01;-1,35;77,35
"185";2022-04-01;-1,5;77,34
"186";2022-05-01;-1,3;76,74
"187";2022-06-01;-2,14;76,72
"188";2022-07-01;-2,44;76,37
"189";2022-08-01;-1,92;75,72
"190";2022-09-01;-1,88;75,33
"191";2022-10-01;-1,78;74,91
