Tabela 1621 - Série encadeada do índice de volume trimestral com ajuste sazonal (Base: média 1995 = 100);;;;;;;;;
Variável - Série encadeada do índice de volume trimestral com ajuste sazonal (Base: média 1995 = 100) (Número-índice);;;;;;;;;
Brasil;;;;;;;;;
Trimestre;Setores e subsetores;;;;;;;;
;Agropecuária - total;Indústria - total;Serviços - total;PIB a preços de mercado;Despesa de consumo das famílias;Despesa de consumo da administração pública;Formação bruta de capital fixo;Exportação de bens e serviços;Importação de bens e serviços (-)
1º trimestre 1996;95.31;100.16;101.99;99.41;97.64;99.16;96.84;98.86;91.54
2º trimestre 1996;96.58;97.3;102.26;100.65;101.07;100.76;98.72;96.06;99.91
3º trimestre 1996;101.79;106.35;103.55;104.15;104.03;104.27;102.41;95.7;107.25
4º trimestre 1996;125.62;100.08;101.42;103.38;108.94;88.51;106.77;100.57;118.96
1º trimestre 1997;101.94;103.22;103.91;104.42;106.61;100.33;107.68;105.14;118.7
2º trimestre 1997;100.37;105.13;104.48;105.01;107.09;99.93;109.2;111.37;123.59
3º trimestre 1997;103.66;106.71;104.97;106.14;106.19;98.37;111.34;114.53;124.37
4º trimestre 1997;112.45;106.49;106.25;107.22;105.84;99;110.61;110.11;116.91
1º trimestre 1998;100.21;103.27;105.19;105.11;106.13;101.44;111.21;115.41;127.56
2º trimestre 1998;112.7;104.8;106.35;106.81;105.83;102.12;111.62;118.34;120.64
3º trimestre 1998;109.77;103.9;107;106.72;106.27;103.89;110.18;114.02;121.84
4º trimestre 1998;107.42;100.75;107.07;105.65;104.49;103.04;105.21;114.5;114.94
1º trimestre 1999;112.04;99.17;107.87;105.82;105.14;101.98;101.47;116.25;103.8
2º trimestre 1999;113.95;100.18;108.04;106.25;105.05;103.09;100.24;118.82;102.54
3º trimestre 1999;114.52;100.29;108.17;106.37;106.22;105.23;97.89;117.37;98.99
4º trimestre 1999;118.91;102.23;109.29;107.83;107.82;107.12;99.87;135.91;105.93
1º trimestre 2000;118.22;103.44;111.04;109;106.98;105.37;100.59;132.48;105.01
2º trimestre 2000;117.77;104.31;111.59;110.45;109.38;104.37;104.69;134.87;109.77
3º trimestre 2000;116.68;105.07;112.99;111.97;111.63;102.97;104.7;145.76;119.35
4º trimestre 2000;117.39;106.69;114.26;113.24;112.45;104.04;108.44;142.62;123.4
1º trimestre 2001;121.06;107.5;113.67;113.51;112.31;106.43;110.35;149.55;128.38
2º trimestre 2001;121.29;105.11;115.05;113.09;112.68;106.63;107.53;155.03;123.65
3º trimestre 2001;124.04;102.1;115.05;112.59;109.74;106.67;105.97;150.1;113.53
4º trimestre 2001;130.49;102.02;115.47;112.06;110.12;107.9;100.02;147.71;106.7
1º trimestre 2002;126.71;105.4;116.94;114.9;112.72;110.88;101.3;150.52;105.5
2º trimestre 2002;129.72;107.89;117.81;115.33;113.47;110.92;103.68;138.52;102.96
3º trimestre 2002;138.82;108.04;119.05;116.76;112.62;111.14;105.23;176.23;102.06
4º trimestre 2002;142.77;111.26;119.72;117.9;111.81;110.99;107.38;176.57;97.78
1º trimestre 2003;146.07;105.7;119.1;117.52;112.69;110.08;104.41;171.93;99.56
2º trimestre 2003;146.01;106.1;118.62;116.55;111.23;111.17;97.09;176.95;98.83
3º trimestre 2003;141.81;109.97;119.73;117.51;111.8;113.36;97.66;179.23;98.43
4º trimestre 2003;144.25;111.26;120.93;118.73;112.41;116.31;101.94;185.28;108.74
1º trimestre 2004;145.97;113.26;122.93;120.51;112.36;114.15;105.56;194.25;107.18
2º trimestre 2004;148.49;115.69;124.94;123.77;114.8;118.3;109.02;200.78;111.28
3º trimestre 2004;148.48;120;126.17;125.26;117.23;118.23;111.08;204.63;111.23
4º trimestre 2004;146.73;119.82;128.25;126.31;119.76;117.73;109.11;210.74;115.54
1º trimestre 2005;150.44;117.83;128.33;127.37;119.81;118.38;107.49;219.95;118.57
2º trimestre 2005;152.41;121.86;129.93;128.82;120.34;119;112.47;223.56;121.1
3º trimestre 2005;145.23;118.52;130.79;127.95;122.28;120.25;111.56;226.84;119.38
4º trimestre 2005;146.51;120.02;131.75;129.77;123.95;120.21;111.69;230.76;123.81
1º trimestre 2006;151.48;121.51;133.92;131.64;125.58;121.85;117.66;233.75;133.6
2º trimestre 2006;153.24;119.64;134.86;132.19;127.29;121.89;116.7;219.17;137.52
3º trimestre 2006;159.85;121.69;136.63;134.33;128.88;123.32;117.34;248.85;146.04
4º trimestre 2006;160.67;125.11;137.81;136.05;130.41;127.84;121.11;242.39;151.07
1º trimestre 2007;158.09;126.11;141.34;138.43;133.61;126.97;126.85;249.42;160.04
2º trimestre 2007;154.84;130.03;142.89;140.84;135.09;130.03;131.53;245.38;162.32
3º trimestre 2007;166.52;130.53;144.03;142.25;136.2;129.33;133.39;250.16;173.57
4º trimestre 2007;166.56;131.53;146.46;144.37;139.66;128.67;137.27;252.18;179.59
1º trimestre 2008;166.34;134.6;148.77;146.3;141.76;130.76;142.72;247.43;186.25
2º trimestre 2008;171.75;136.64;151.19;149.28;144.56;130.59;149.94;257.68;200.8
3º trimestre 2008;175.03;139.69;152.93;151.5;147.24;134.4;156.83;252.46;206.43
4º trimestre 2008;168.09;128.6;149.54;145.88;144.66;129.82;144.47;237.86;193.79
1º trimestre 2009;163.54;120.87;150.31;143.94;146.65;134.92;129.47;223.25;165.7
2º trimestre 2009;161.74;125.78;152.25;146.45;150.3;133.32;137.84;230.69;174.79
3º trimestre 2009;163.26;131.12;155;149.9;153.8;134.79;150.64;226.81;183.44
4º trimestre 2009;170.26;136.42;157.25;153.67;154.72;137.97;162.87;228.93;205.37
1º trimestre 2010;173.53;138.12;159.65;156.99;157.54;139.09;167.08;252.05;230.89
2º trimestre 2010;177.67;141.89;161.44;158.94;158.49;139.94;169.47;248.46;236.25
3º trimestre 2010;173.67;142.29;163.82;160.34;161.98;141.31;173.95;256.11;254.14
4º trimestre 2010;176.66;144.43;165.65;162.54;165.17;141.82;175.58;258.62;255.05
1º trimestre 2011;180.82;145.33;167.15;164.93;167.52;142.94;180.21;262.09;257.24
2º trimestre 2011;179.09;149.19;168.4;166.39;169.17;144.33;183.06;264.9;268.19
3º trimestre 2011;188.27;147.96;168.48;166.12;168.57;143.76;184.81;270.1;271.18
4º trimestre 2011;197.41;147.55;169.15;167.65;169.45;143.44;185.39;272.27;278.92
1º trimestre 2012;158.78;148.29;170.68;165.35;170.36;146.32;184.83;269.63;267.78
2º trimestre 2012;178.55;144.55;172.48;168.17;173.14;147.16;184.84;260.76;274.22
3º trimestre 2012;198.72;147.13;174.11;171.1;175.8;146.42;183.02;266.02;263.24
4º trimestre 2012;188.26;145.88;175.34;171.2;176.85;147.73;186.85;274.9;278.92
1º trimestre 2013;189.95;145.73;175.34;172.03;178.88;146.47;189.18;266.2;288.94
2º trimestre 2013;196.39;151.24;177.9;174.54;180.49;148.79;200.28;272.55;292.49
3º trimestre 2013;195.81;151.37;178.96;175.25;181.77;149.84;197.35;268.3;287.36
4º trimestre 2013;198.28;150.14;179.52;175.57;180.97;151.42;195.38;287.17;286.52
1º trimestre 2014;199.78;150.66;180.11;176.89;185.24;149.63;196.19;271;286.5
2º trimestre 2014;196.4;146.15;179.23;174.55;183.5;150.59;187.5;266.59;281.4
3º trimestre 2014;200.65;145.75;179.65;174.39;183.82;151.22;183.04;279.6;289.1
4º trimestre 2014;206.07;146.85;179.84;175.15;185.85;149.96;182.72;261.55;271.73
1º trimestre 2015;210.75;144.27;177.88;173.73;184.04;149.27;177.22;277.61;269.22
2º trimestre 2015;204.63;139.46;175.29;169.78;179.77;148.1;164.87;288.57;252.66
3º trimestre 2015;203.06;137.02;173.47;167.14;176.52;148.38;155.58;286.84;230.56
4º trimestre 2015;207.7;134.57;172.67;165.51;174.73;147.05;147.34;298.33;218.06
1º trimestre 2016;192.68;133.87;172.17;163.23;171.63;149.22;144.04;297.03;206.08
2º trimestre 2016;192.91;134.13;171.52;163.74;171.99;148.81;147.61;297.18;228.19
3º trimestre 2016;196.09;132.13;170.5;162.95;171.3;148.25;138.6;283.72;213.43
4º trimestre 2016;205.64;129.76;169.51;162.74;170.81;147.83;136.13;280.64;221.27
1º trimestre 2017;230.31;131.41;170.09;164.32;172.33;146.99;136.65;299.32;227.42
2º trimestre 2017;223.03;131.13;172.03;165.61;174.93;147.32;136.54;306.14;227.56
3º trimestre 2017;217.94;131.59;172.93;166.25;176.76;147.16;136.9;311.89;233.66
4º trimestre 2017;218.88;133.03;173.66;167.1;177.08;148.62;141.5;302.26;242.49
1º trimestre 2018;222.92;133.32;174.73;167.87;178.63;148.52;141.28;313.4;242.52
2º trimestre 2018;224.32;132.58;175.65;167.92;179.01;149.08;142.08;300.58;242.23
3º trimestre 2018;229.19;132.95;176.49;169.53;180.02;149.63;149.3;319.9;265
4º trimestre 2018;231.64;132.08;176.17;168.97;179.74;147.46;147.48;329.01;247.88
1º trimestre 2019;222.94;131.48;177.64;169.44;183.09;147.99;145.81;314.57;239.13
2º trimestre 2019;226.02;131.86;178.21;170.63;183.64;148.3;153.08;302.18;255.46
3º trimestre 2019;232.33;131.91;178.6;170.65;184.26;147.94;156.51;303.48;266.59
4º trimestre 2019;230.34;132.14;179.15;171.78;184.98;147.55;148.13;311.22;249.4
1º trimestre 2020;235.34;130.8;178.23;167.9;181.65;148.15;154.85;300.72;249.01
2º trimestre 2020;237.04;115.13;160.94;153.43;163.13;136.87;130.04;299.99;219.8
3º trimestre 2020;239.21;131.89;171.18;165.62;174.76;141.34;142.67;299.34;201.71
4º trimestre 2020;235.52;133.93;176.6;171.18;180.48;143.62;165.5;297.91;240.91
1º trimestre 2021;249.75;135.77;178.05;172.7;181.55;144.01;179.57;310.34;271
2º trimestre 2021;236.52;133.75;179.3;172.42;179.76;146.84;171.66;342.97;263.23
3º trimestre 2021;222.6;133.52;181.68;173.14;182.95;148.83;169.76;312.93;244.88
4º trimestre 2021;235.66;133.24;183.75;174.95;183.99;150;170.46;309.24;247.21
1º trimestre 2022;235.33;134.3;185.58;176.73;186.27;149.45;168.31;334.08;243.28
2º trimestre 2022;234.06;136.47;187.85;178.63;189.86;148.36;174.27;326.16;259.51
3º trimestre 2022;231.4;137.33;189.59;179.44;191.42;150.22;178.28;339.71;271.67
4º trimestre 2022;229.26;136.87;189.97;179.33;192.28;150.66;175.99;351.03;263.24
1º trimestre 2023;278.67;136.72;191.05;182.82;192.57;151.14;170;349.57;244.67
Fonte: IBGE - Contas Nacionais Trimestrais;;;;;;;;;
