Tabela 8880 - Índice e variação da receita nominal e do volume de vendas no comércio varejista (2022 = 100);;;;
Brasil;;;;
Mês;Variável x Tipos de índice;;;
;PMC - Número-índice (2022=100) (Número-índice);;PMC - Número-índice com ajuste sazonal (2022=100) (Número-índice);
;Índice de receita nominal de vendas no comércio varejista;Índice de volume de vendas no comércio varejista;Índice de receita nominal de vendas no comércio varejista;Índice de volume de vendas no comércio varejista
janeiro 2000;12.67453;46.56262;13.56591;50.15121
fevereiro 2000;12.8061;47.08777;13.75844;50.60145
março 2000;13.37623;49.10081;13.85265;50.92609
abril 2000;13.37623;49.10081;13.86983;50.95779
maio 2000;13.90251;51.11386;14.03283;51.27567
junho 2000;13.24466;48.66319;14.14164;51.14863
julho 2000;14.03408;50.41367;14.35476;51.31746
agosto 2000;14.29722;50.23862;14.4593;50.88504
setembro 2000;13.99022;49.01329;14.54609;50.97565
outubro 2000;14.25336;49.97605;14.31802;50.19387
novembro 2000;14.56036;50.85129;14.56875;51.10995
dezembro 2000;20.17399;70.10651;14.64606;51.21315
janeiro 2001;13.72708;47.43786;14.68862;51.11965
fevereiro 2001;12.93767;44.72463;14.70846;50.94732
março 2001;14.64807;50.32614;14.72226;50.72626
abril 2001;14.12179;48.13805;14.76921;50.53993
maio 2001;14.64807;49.97605;14.75234;50.052
junho 2001;14.07794;48.05053;14.83073;50.01209
julho 2001;14.34107;48.3131;14.87982;49.74729
agosto 2001;14.8235;49.62596;14.94694;49.90346
setembro 2001;14.25336;47.61291;15.05565;50.04352
outubro 2001;15.30592;50.58872;15.20346;50.24291
novembro 2001;15.17435;49.62596;15.14541;49.73201
dezembro 2001;20.91955;68.18099;15.27767;50.15887
janeiro 2002;14.38493;46.91272;15.336;50.3373
fevereiro 2002;13.46394;44.02444;15.33148;50.26586
março 2002;15.56906;50.50119;15.45429;50.43358
abril 2002;14.69193;47.17529;15.57927;50.29314
maio 2002;15.74448;50.58872;15.73597;50.47439
junho 2002;14.69193;47.17529;15.58208;49.50014
julho 2002;15.48134;49.18834;15.9025;50.13636
agosto 2002;16.13919;50.76376;16.1749;50.52201
setembro 2002;15.13049;46.91272;16.2407;49.93709
outubro 2002;16.75318;50.85129;16.63972;50.33779
novembro 2002;17.14789;49.62596;16.9172;49.19711
dezembro 2002;22.84924;64.68004;16.92114;48.213
janeiro 2003;16.44619;44.81215;17.38625;47.78966
fevereiro 2003;16.13919;43.32425;18.00593;48.45822
março 2003;17.01632;44.72463;17.79699;47.12996
abril 2003;17.41103;45.42482;17.98039;47.17152
maio 2003;18.11273;47.43786;17.87912;46.84215
junho 2003;16.8409;44.46205;17.98749;47.12211
