Tabela 8881 - Índice e variação da receita nominal e do volume de vendas no comércio varejista ampliado (2022 = 100);;;;
Brasil;;;;
Mês;Variável x Tipos de índice;;;
;PMC - Número-índice (2022=100) (Número-índice);;PMC - Número-índice com ajuste sazonal (2022=100) (Número-índice);
;Índice de receita nominal de vendas no comércio varejista ampliado;Índice de volume de vendas no comércio varejista ampliado;Índice de receita nominal de vendas no comércio varejista ampliado;Índice de volume de vendas no comércio varejista ampliado
janeiro 2003;18.88421;45.76243;19.54924;47.22778
fevereiro 2003;18.52597;44.07447;20.19729;48.50254
março 2003;18.83303;44.16825;20.03998;47.27607
abril 2003;19.39598;45.106;20.18125;47.13753
maio 2003;20.2148;47.07529;19.94957;46.6368
junho 2003;18.98656;44.3558;20.08004;47.0364
julho 2003;20.31716;47.73171;20.36417;47.72202
agosto 2003;20.26598;47.63794;20.46149;47.92815
setembro 2003;20.41951;47.82549;20.93114;48.82257
outubro 2003;21.7501;50.92008;21.19359;49.49747
novembro 2003;21.5454;50.35743;21.55378;50.13209
dezembro 2003;27.43072;63.76732;21.74526;50.44107
janeiro 2004;21.13598;48.66947;21.9157;50.28175
fevereiro 2004;20.11245;46.23131;22.69256;52.74628
março 2004;22.97835;52.51426;22.77035;52.16899
abril 2004;22.15952;50.54498;22.97531;52.68897
maio 2004;23.49011;53.07692;23.63315;53.59145
junho 2004;23.33658;51.95161;24.26731;54.0154
julho 2004;24.46247;54.01467;24.46372;53.88089
agosto 2004;24.46247;53.45202;24.56535;53.4791
setembro 2004;24.10423;52.42049;24.89514;54.08007
outubro 2004;25.2813;54.57732;25.08568;53.97717
novembro 2004;25.69071;55.0462;25.04585;53.40598
dezembro 2004;33.11134;70.61293;26.27976;56.08384
janeiro 2005;24.82071;52.32671;26.23457;55.23125
fevereiro 2005;22.05717;46.60641;25.50368;54.34206
março 2005;25.99777;54.6711;25.91993;54.6374
abril 2005;25.07659;52.23294;26.06023;54.37134
maio 2005;25.9466;53.92089;26.37871;54.91046
junho 2005;25.74189;53.54579;26.3758;54.97822
julho 2005;26.04895;54.38977;26.41242;55.00033
agosto 2005;27.07248;56.45283;26.62685;55.30201
setembro 2005;25.63954;53.45202;26.19555;54.59653
outubro 2005;26.8166;55.51508;26.75369;55.28245
novembro 2005;27.63543;57.01549;27.09647;55.66677
dezembro 2005;35.26076;72.95732;28.16435;58.26202
janeiro 2006;26.56072;54.38977;27.8797;57.10398
