"";"ref.date";"UCI"
"1";2001-01-01;81
"2";2001-02-01;81,2
"3";2001-03-01;81,6
"4";2001-04-01;80,7
"5";2001-05-01;80,9
"6";2001-06-01;79,5
"7";2001-07-01;79
"8";2001-08-01;78,8
"9";2001-09-01;79,4
"10";2001-10-01;79,7
"11";2001-11-01;80,2
"12";2001-12-01;80
"13";2002-01-01;78,6
"14";2002-02-01;78,5
"15";2002-03-01;78,6
"16";2002-04-01;77,4
"17";2002-05-01;78,3
"18";2002-06-01;77,5
"19";2002-07-01;77,7
"20";2002-08-01;77,9
"21";2002-09-01;78,8
"22";2002-10-01;79,5
"23";2002-11-01;80,4
"24";2002-12-01;80,5
"25";2003-01-01;79,4
"26";2003-02-01;79,4
"27";2003-03-01;79,4
"28";2003-04-01;78,3
"29";2003-05-01;78,8
"30";2003-06-01;77,6
"31";2003-07-01;77,4
"32";2003-08-01;78,3
"33";2003-09-01;80
"34";2003-10-01;81,4
"35";2003-11-01;81,8
"36";2003-12-01;81,5
"37";2004-01-01;80
"38";2004-02-01;80,1
"39";2004-03-01;80,2
"40";2004-04-01;79,2
"41";2004-05-01;80,6
"42";2004-06-01;80,4
"43";2004-07-01;81,1
"44";2004-08-01;81,6
"45";2004-09-01;83
"46";2004-10-01;84
"47";2004-11-01;84,4
"48";2004-12-01;84
"49";2005-01-01;82,4
"50";2005-02-01;83
"51";2005-03-01;82,1
"52";2005-04-01;81
"53";2005-05-01;80,9
"54";2005-06-01;80,6
"55";2005-07-01;80,1
"56";2005-08-01;80,9
"57";2005-09-01;81,5
"58";2005-10-01;82,4
"59";2005-11-01;81,8
"60";2005-12-01;81,5
"61";2006-01-01;80,5
"62";2006-02-01;80,2
"63";2006-03-01;80,9
"64";2006-04-01;79,4
"65";2006-05-01;80,7
"66";2006-06-01;80,4
"67";2006-07-01;81,5
"68";2006-08-01;81,9
"69";2006-09-01;83,1
"70";2006-10-01;83,4
"71";2006-11-01;83,5
"72";2006-12-01;82,9
"73";2007-01-01;80,7
"74";2007-02-01;82,7
"75";2007-03-01;81,3
"76";2007-04-01;81,6
"77";2007-05-01;82,3
"78";2007-06-01;83,1
"79";2007-07-01;83,3
"80";2007-08-01;83,7
"81";2007-09-01;85
"82";2007-10-01;86,5
"83";2007-11-01;86,6
"84";2007-12-01;85,8
"85";2008-01-01;84,1
"86";2008-02-01;84,3
"87";2008-03-01;84,4
"88";2008-04-01;83,8
"89";2008-05-01;84
"90";2008-06-01;84,3
"91";2008-07-01;84,9
"92";2008-08-01;85,5
"93";2008-09-01;85,6
