"";"Nível Territorial (Código)";"Nível Territorial";"Unidade de Medida (Código)";"Unidade de Medida";"Valor";"Brasil (Código)";"Brasil";"Variável (Código)";"Variável";"Trimestre Móvel (Código)";"Trimestre Móvel"
"2";"1";"Brasil";"38";"Reais";2916;"1";"Brasil";"5935";"Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, efetivamente recebido em todos os trabalhos";"201203";"jan-fev-mar 2012"
"3";"1";"Brasil";"38";"Reais";2749;"1";"Brasil";"5935";"Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, efetivamente recebido em todos os trabalhos";"201204";"fev-mar-abr 2012"
"4";"1";"Brasil";"38";"Reais";2745;"1";"Brasil";"5935";"Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, efetivamente recebido em todos os trabalhos";"201205";"mar-abr-mai 2012"
"5";"1";"Brasil";"38";"Reais";2752;"1";"Brasil";"5935";"Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, efetivamente recebido em todos os trabalhos";"201206";"abr-mai-jun 2012"
"6";"1";"Brasil";"38";"Reais";2764;"1";"Brasil";"5935";"Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, efetivamente recebido em todos os trabalhos";"201207";"mai-jun-jul 2012"
"7";"1";"Brasil";"38";"Reais";2776;"1";"Brasil";"5935";"Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, efetivamente recebido em todos os trabalhos";"201208";"jun-jul-ago 2012"
"8";"1";"Brasil";"38";"Reais";2775;"1";"Brasil";"5935";"Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, efetivamente recebido em todos os trabalhos";"201209";"jul-ago-set 2012"
"9";"1";"Brasil";"38";"Reais";2777;"1";"Brasil";"5935";"Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, efetivamente recebido em todos os trabalhos";"201210";"ago-set-out 2012"
"10";"1";"Brasil";"38";"Reais";2773;"1";"Brasil";"5935";"Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, efetivamente recebido em todos os trabalhos";"201211";"set-out-nov 2012"
"11";"1";"Brasil";"38";"Reais";2797;"1";"Brasil";"5935";"Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, efetivamente recebido em todos os trabalhos";"201212";"out-nov-dez 2012"
"12";"1";"Brasil";"38";"Reais";2935;"1";"Brasil";"5935";"Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, efetivamente recebido em todos os trabalhos";"201301";"nov-dez-jan 2013"
"13";"1";"Brasil";"38";"Reais";2949;"1";"Brasil";"5935";"Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, efetivamente recebido em todos os trabalhos";"201302";"dez-jan-fev 2013"
"14";"1";"Brasil";"38";"Reais";2933;"1";"Brasil";"5935";"Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, efetivamente recebido em todos os trabalhos";"201303";"jan-fev-mar 2013"
"15";"1";"Brasil";"38";"Reais";2804;"1";"Brasil";"5935";"Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, efetivamente recebido em todos os trabalhos";"201304";"fev-mar-abr 2013"
"16";"1";"Brasil";"38";"Reais";2807;"1";"Brasil";"5935";"Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, efetivamente recebido em todos os trabalhos";"201305";"mar-abr-mai 2013"
"17";"1";"Brasil";"38";"Reais";2832;"1";"Brasil";"5935";"Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, efetivamente recebido em todos os trabalhos";"201306";"abr-mai-jun 2013"
"18";"1";"Brasil";"38";"Reais";2855;"1";"Brasil";"5935";"Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, efetivamente recebido em todos os trabalhos";"201307";"mai-jun-jul 2013"
"19";"1";"Brasil";"38";"Reais";2871;"1";"Brasil";"5935";"Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, efetivamente recebido em todos os trabalhos";"201308";"jun-jul-ago 2013"
"20";"1";"Brasil";"38";"Reais";2870;"1";"Brasil";"5935";"Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, efetivamente recebido em todos os trabalhos";"201309";"jul-ago-set 2013"
"21";"1";"Brasil";"38";"Reais";2882;"1";"Brasil";"5935";"Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, efetivamente recebido em todos os trabalhos";"201310";"ago-set-out 2013"
"22";"1";"Brasil";"38";"Reais";2877;"1";"Brasil";"5935";"Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, efetivamente recebido em todos os trabalhos";"201311";"set-out-nov 2013"
"23";"1";"Brasil";"38";"Reais";2882;"1";"Brasil";"5935";"Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, efetivamente recebido em todos os trabalhos";"201312";"out-nov-dez 2013"
"24";"1";"Brasil";"38";"Reais";2983;"1";"Brasil";"5935";"Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, efetivamente recebido em todos os trabalhos";"201401";"nov-dez-jan 2014"
"25";"1";"Brasil";"38";"Reais";3009;"1";"Brasil";"5935";"Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, efetivamente recebido em todos os trabalhos";"201402";"dez-jan-fev 2014"
"26";"1";"Brasil";"38";"Reais";3023;"1";"Brasil";"5935";"Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, efetivamente recebido em todos os trabalhos";"201403";"jan-fev-mar 2014"
"27";"1";"Brasil";"38";"Reais";2918;"1";"Brasil";"5935";"Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, efetivamente recebido em todos os trabalhos";"201404";"fev-mar-abr 2014"
"28";"1";"Brasil";"38";"Reais";2913;"1";"Brasil";"5935";"Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, efetivamente recebido em todos os trabalhos";"201405";"mar-abr-mai 2014"
"29";"1";"Brasil";"38";"Reais";2894;"1";"Brasil";"5935";"Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, efetivamente recebido em todos os trabalhos";"201406";"abr-mai-jun 2014"
"30";"1";"Brasil";"38";"Reais";2881;"1";"Brasil";"5935";"Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, efetivamente recebido em todos os trabalhos";"201407";"mai-jun-jul 2014"
"31";"1";"Brasil";"38";"Reais";2899;"1";"Brasil";"5935";"Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, efetivamente recebido em todos os trabalhos";"201408";"jun-jul-ago 2014"
"32";"1";"Brasil";"38";"Reais";2903;"1";"Brasil";"5935";"Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, efetivamente recebido em todos os trabalhos";"201409";"jul-ago-set 2014"
"33";"1";"Brasil";"38";"Reais";2917;"1";"Brasil";"5935";"Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, efetivamente recebido em todos os trabalhos";"201410";"ago-set-out 2014"
"34";"1";"Brasil";"38";"Reais";2898;"1";"Brasil";"5935";"Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, efetivamente recebido em todos os trabalhos";"201411";"set-out-nov 2014"
"35";"1";"Brasil";"38";"Reais";2921;"1";"Brasil";"5935";"Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, efetivamente recebido em todos os trabalhos";"201412";"out-nov-dez 2014"
"36";"1";"Brasil";"38";"Reais";3032;"1";"Brasil";"5935";"Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, efetivamente recebido em todos os trabalhos";"201501";"nov-dez-jan 2015"
"37";"1";"Brasil";"38";"Reais";3031;"1";"Brasil";"5935";"Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, efetivamente recebido em todos os trabalhos";"201502";"dez-jan-fev 2015"
