Tabela 1737 - IPCA - Série histórica com número-índice, variação mensal e variações acumuladas em 3 meses, em 6 meses, no ano e em 12 meses (a partir de dezembro/1979);;;
Brasil;;;
Mês;Variável;;
;IPCA - Número-índice (base: dezembro de 1993 = 100) (Número-índice);IPCA - Variação mensal (%);IPCA - Variação acumulada em 12 meses (%)
dez/80;1.52E-08;6.61;99.25
jan/81;1.62E-08;6.84;99.67
fev/81;1.73E-08;6.4;103.07
mar/81;1.81E-08;4.97;101.03
abr/81;1.93E-08;6.46;103.27
mai/81;2.04E-08;5.56;103
jun/81;2.15E-08;5.52;103.41
jul/81;2.28E-08;6.26;104.78
ago/81;2.41E-08;5.5;105.85
set/81;2.53E-08;5.26;107.88
out/81;2.66E-08;5.08;99.52
nov/81;2.80E-08;5.27;96.89
dez/81;2.97E-08;5.93;95.62
jan/82;3.18E-08;6.97;95.86
fev/82;3.39E-08;6.64;96.29
mar/82;3.58E-08;5.71;97.68
abr/82;3.79E-08;5.89;96.61
mai/82;4.04E-08;6.66;98.65
jun/82;4.33E-08;7.1;101.64
jul/82;4.61E-08;6.36;101.84
ago/82;4.88E-08;5.97;102.75
set/82;5.13E-08;5.08;102.41
out/82;5.36E-08;4.44;101.19
nov/82;5.64E-08;5.29;101.22
dez/82;6.08E-08;7.81;104.79
jan/83;6.61E-08;8.64;108
fev/83;7.13E-08;7.86;110.38
mar/83;7.65E-08;7.34;113.63
abr/83;8.15E-08;6.58;115.03
mai/83;8.68E-08;6.48;114.67
jun/83;9.54E-08;9.88;120.24
jul/83;1.05E-07;10.08;127.94
ago/83;1.15E-07;9.11;134.69
set/83;1.26E-07;10.3;146.35
out/83;1.38E-07;8.87;156.78
nov/83;1.48E-07;7.38;161.9
dez/83;1.61E-07;8.68;164.01
jan/84;1.76E-07;9.67;166.51
fev/84;1.93E-07;9.5;170.57
mar/84;2.10E-07;8.94;174.59
abr/84;2.30E-07;9.54;182.22
mai/84;2.51E-07;9.05;189.03
jun/84;2.76E-07;10.08;189.55
jul/84;3.03E-07;9.72;188.62
ago/84;3.31E-07;9.35;189.25
set/84;3.70E-07;11.75;193.05
out/84;4.09E-07;10.44;197.27
nov/84;4.52E-07;10.53;205.97
dez/84;5.06E-07;11.98;215.26
jan/85;5.66E-07;11.76;221.27
fev/85;6.27E-07;10.87;225.28
mar/85;6.91E-07;10.16;228.93
abr/85;7.47E-07;8.2;224.88
mai/85;8.01E-07;7.2;219.36
jun/85;8.69E-07;8.49;214.76
jul/85;9.59E-07;10.31;216.44
ago/85;1.07E-06;12.05;224.26
set/85;1.19E-06;11.12;222.43
out/85;1.32E-06;10.62;222.95
nov/85;1.51E-06;13.97;233.02
dez/85;1.73E-06;15.07;242.23
jan/86;1.98E-06;14.37;250.23
fev/86;2.23E-06;12.72;256.08
mar/86;2.34E-06;4.77;238.65
abr/86;2.36E-06;0.78;215.44
mai/86;2.39E-06;1.4;198.38
jun/86;2.42E-06;1.27;178.52
jul/86;2.46E-06;1.71;156.8
ago/86;2.55E-06;3.55;137.33
set/86;2.59E-06;1.72;117.25
out/86;2.64E-06;1.9;100.13
nov/86;2.79E-06;5.45;85.17
dez/86;3.11E-06;11.65;79.66
jan/87;3.52E-06;13.21;77.84
fev/87;3.97E-06;12.64;77.71
mar/87;4.62E-06;16.37;97.39
abr/87;5.50E-06;19.1;133.27
mai/87;6.68E-06;21.45;179.4
jun/87;8.00E-06;19.71;230.27
jul/87;8.73E-06;9.21;254.63
ago/87;9.16E-06;4.87;259.14
set/87;9.87E-06;7.78;280.55
out/87;1.10E-05;11.22;315.35
nov/87;1.26E-05;15.08;353.27
dez/87;1.44E-05;14.15;363.41
jan/88;1.71E-05;18.89;386.67
fev/88;1.98E-05;15.7;399.9
mar/88;2.33E-05;17.6;405.18
abr/88;2.78E-05;19.29;405.99
mai/88;3.27E-05;17.42;389.19
jun/88;3.99E-05;22;398.54
jul/88;4.86E-05;21.91;456.52
ago/88;5.91E-05;21.59;545.24
set/88;7.53E-05;27.45;662.99
out/88;9.46E-05;25.62;761.78
nov/88;0.000121049;27.94;858.09
dez/88;0.00015579;28.7;980.21
jan/89;0.000214196;37.49;1149.22
fev/89;0.000250138;16.78;1160.88
mar/89;0.000267198;6.82;1045.29
abr/89;0.000289455;8.33;940.07
mai/89;0.000341326;17.92;944.5
jun/89;0.000439116;28.65;1001.44
jul/89;0.000560926;27.74;1054.11
ago/89;0.000750014;33.71;1169.15
set/89;0.00103172;37.56;1269.82
out/89;0.001442035;39.77;1424.12
nov/89;0.002131616;47.82;1660.95
dez/89;0.003229398;51.5;1972.91
jan/90;0.005410857;67.55;2426.12
fev/90;0.009508498;75.73;3701.29
mar/90;0.01734255;82.39;6390.53
abr/90;0.020034114;15.52;6821.31
mai/90;0.021554703;7.59;6214.99
jun/90;0.024087381;11.75;5385.43
jul/90;0.02719947;12.92;4749.03
ago/90;0.030702762;12.88;3993.62
set/90;0.03512703;14.41;3304.71
out/90;0.040171272;14.36;2685.74
nov/90;0.046924063;16.81;2101.34
dez/90;0.05557686;18.44;1620.97
jan/91;0.067109058;20.75;1140.27
fev/91;0.081014389;20.72;752.02
mar/91;0.090673647;11.92;422.84
abr/91;0.095197604;4.99;375.18
mai/91;0.102272538;7.43;374.48
jun/91;0.113715813;11.19;372.1
jul/91;0.127826778;12.41;369.96
ago/91;0.147806659;15.63;381.41
set/91;0.17090996;15.63;386.55
out/91;0.205484325;20.23;411.52
nov/91;0.257287516;25.21;448.31
dez/91;0.318288677;23.71;472.7
jan/92;0.400853661;25.94;497.32
fev/92;0.498341031;24.32;515.13
mar/92;0.604987467;21.4;567.21
abr/92;0.725561465;19.93;662.16
mai/92;0.905936164;24.86;785.81
jun/92;1.089028572;20.21;857.68
jul/92;1.326764148;21.83;937.94
ago/92;1.620510084;22.14;996.37
set/92;2.019640862;24.63;1081.7
out/92;2.52939738;25.24;1130.94
nov/92;3.098259889;22.49;1104.2
dez/92;3.880259655;25.24;1119.1
jan/93;5.057916646;30.35;1161.79
fev/93;6.321384308;24.98;1168.49
mar/93;8.044594872;27.26;1229.71
abr/93;10.27696728;27.75;1316.42
mai/93;13.12265813;27.69;1348.52
jun/93;17.06864298;30.07;1467.33
jul/93;22.31213076;30.72;1581.7
ago/93;29.66621094;32.96;1730.67
set/93;40.25408073;35.69;1893.13
out/93;53.90826483;33.92;2031.27
nov/93;73.07804658;35.56;2258.68
dez/93;100;36.84;2477.15
jan/94;141.31;41.31;2693.84
fev/94;198.22;40.27;3035.71
mar/94;282.96;42.75;3417.39
abr/94;403.73;42.68;3828.49
mai/94;581.49;44.03;4331.19
jun/94;857.29;47.43;4922.6
jul/94;915.93;6.84;4005.08
ago/94;932.97;1.86;3044.89
set/94;947.24;1.53;2253.15
out/94;972.06;2.62;1703.17
nov/94;999.37;2.81;1267.54
dez/94;1016.46;1.71;916.46
jan/95;1033.74;1.7;631.54
fev/95;1044.28;1.02;426.83
mar/95;1060.47;1.55;274.78
abr/95;1086.24;2.43;169.05
mai/95;1115.24;2.67;91.79
jun/95;1140.44;2.26;33.03
jul/95;1167.35;2.36;27.45
ago/95;1178.91;0.99;26.36
set/95;1190.58;0.99;25.69
out/95;1207.37;1.41;24.21
nov/95;1225.12;1.47;22.59
dez/95;1244.23;1.56;22.41
jan/96;1260.9;1.34;21.97
fev/96;1273.89;1.03;21.99
mar/96;1278.35;0.35;20.55
abr/96;1294.46;1.26;19.17
mai/96;1310.25;1.22;17.49
jun/96;1325.84;1.19;16.26
jul/96;1340.56;1.11;14.84
ago/96;1346.46;0.44;14.21
set/96;1348.48;0.15;13.26
out/96;1352.53;0.3;12.02
nov/96;1356.86;0.32;10.75
dez/96;1363.24;0.47;9.56
jan/97;1379.33;1.18;9.39
fev/97;1386.23;0.5;8.82
mar/97;1393.3;0.51;8.99
abr/97;1405.56;0.88;8.58
mai/97;1411.32;0.41;7.71
jun/97;1418.94;0.54;7.02
jul/97;1422.06;0.22;6.08
ago/97;1421.78;-0.02;5.59
set/97;1422.63;0.06;5.5
out/97;1425.9;0.23;5.42
nov/97;1428.32;0.17;5.27
dez/97;1434.46;0.43;5.22
jan/98;1444.64;0.71;4.73
fev/98;1451.29;0.46;4.69
mar/98;1456.22;0.34;4.52
abr/98;1459.71;0.24;3.85
mai/98;1467.01;0.5;3.95
jun/98;1467.3;0.02;3.41
jul/98;1465.54;-0.12;3.06
ago/98;1458.07;-0.51;2.55
set/98;1454.86;-0.22;2.27
out/98;1455.15;0.02;2.05
nov/98;1453.4;-0.12;1.76
dez/98;1458.2;0.33;1.65
jan/99;1468.41;0.7;1.65
fev/99;1483.83;1.05;2.24
mar/99;1500.15;1.1;3.02
abr/99;1508.55;0.56;3.35
mai/99;1513.08;0.3;3.14
jun/99;1515.95;0.19;3.32
jul/99;1532.47;1.09;4.57
ago/99;1541.05;0.56;5.69
set/99;1545.83;0.31;6.25
out/99;1564.23;1.19;7.5
nov/99;1579.09;0.95;8.65
dez/99;1588.56;0.6;8.94
jan/00;1598.41;0.62;8.85
fev/00;1600.49;0.13;7.86
mar/00;1604.01;0.22;6.92
abr/00;1610.75;0.42;6.77
mai/00;1610.91;0.01;6.47
jun/00;1614.62;0.23;6.51
jul/00;1640.62;1.61;7.06
ago/00;1662.11;1.31;7.86
set/00;1665.93;0.23;7.77
out/00;1668.26;0.14;6.65
nov/00;1673.6;0.32;5.99
dez/00;1683.47;0.59;5.97
jan/01;1693.07;0.57;5.92
fev/01;1700.86;0.46;6.27
mar/01;1707.32;0.38;6.44
abr/01;1717.22;0.58;6.61
mai/01;1724.26;0.41;7.04
jun/01;1733.23;0.52;7.35
jul/01;1756.28;1.33;7.05
ago/01;1768.57;0.7;6.41
set/01;1773.52;0.28;6.46
out/01;1788.24;0.83;7.19
nov/01;1800.94;0.71;7.61
dez/01;1812.65;0.65;7.67
jan/02;1822.08;0.52;7.62
fev/02;1828.64;0.36;7.51
mar/02;1839.61;0.6;7.75
abr/02;1854.33;0.8;7.98
mai/02;1858.22;0.21;7.77
jun/02;1866.02;0.42;7.66
jul/02;1888.23;1.19;7.51
ago/02;1900.5;0.65;7.46
set/02;1914.18;0.72;7.93
out/02;1939.26;1.31;8.45
nov/02;1997.83;3.02;10.93
dez/02;2039.78;2.1;12.53
jan/03;2085.68;2.25;14.47
fev/03;2118.43;1.57;15.85
mar/03;2144.49;1.23;16.57
abr/03;2165.29;0.97;16.77
mai/03;2178.5;0.61;17.24
jun/03;2175.23;-0.15;16.57
jul/03;2179.58;0.2;15.43
ago/03;2186.99;0.34;15.07
set/03;2204.05;0.78;15.14
out/03;2210.44;0.29;13.98
nov/03;2217.96;0.34;11.02
