mes;alimentos;manga;uva;habitacao;residencia;vestuario;transportes;saude;despesas;educacao;comunicacao;pe_alimentos;pe_manga;pe_uva;pe_habitacao;pe_residencia;pe_vestuario;pe_transportes;pe_saude;pe_despesas;pe_educacao;pe_comunicacao
ago/99;0.13;-0.3;-0.72;0.84;0.08;-0.12;1.41;0.93;-0.13;0.4;0;22.2974;0.0367;0.0884;16.2888;5.9764;5.6816;19.9933;11.4714;9.9032;4.9743;3.4135
set/99;0.34;-5.69;-0.97;0.2;0.13;0.35;0.55;0.69;-0.09;0.07;-0.24;22.2026;0.0001;0.0716;16.3306;5.9475;5.6449;20.161;11.5139;9.8353;4.9679;3.3964
out/99;1.77;0.46;0.81;0.02;0.34;1.04;3.24;0.4;0.18;0;-0.06;22.211;0.0287;0.0738;16.3131;5.9365;5.6466;20.2067;11.5573;9.7952;4.9563;3.3774
nov/99;1.35;-22.29;11.45;0.43;0.91;0.61;2.15;0.29;0.04;0.16;-0.07;22.3393;0.0325;0.0373;16.1221;5.8873;5.6384;20.6149;11.4666;9.6984;4.8975;3.3355
dez/99;1.41;18.06;2.53;0.41;0.62;0.69;0.33;0.15;0.33;0.46;-0.04;22.4305;0.0922;0.0303;16.0403;5.8853;5.6194;20.8604;11.3918;9.611;4.8593;3.3019
jan/00;0.84;7.27;-9.07;0.19;0.43;0.21;0.39;0.59;0.12;3.05;1.82;22.6093;0.0566;0.1419;16.0118;5.8871;5.6239;20.8085;11.3405;9.5867;4.8521;3.2802
fev/00;-0.25;8.35;-5.24;0.01;0.29;-0.67;0.4;0.22;0.36;1.32;0.04;22.658;0.0499;0.1309;15.9425;5.8758;5.6014;20.7592;11.3363;9.538;4.9696;3.3192
mar/00;-0.46;29.38;6.09;0.17;0.28;-1.44;1.68;0.27;-0.07;-0.26;0.07;22.57;0.0433;0.1113;15.928;5.8838;5.5544;20.8146;11.3463;9.5594;5.0276;3.3158
abr/00;-0.36;6.83;8;0;0.19;0.72;0.51;0.07;3.55;0.01;-0.29;22.4175;0.0084;0.0706;15.9164;5.8875;5.4631;21.1159;11.3522;9.5317;5.004;3.3114
mai/00;-0.67;15.55;-8.63;0.45;0.25;0.35;0.13;0.03;0.13;0.07;0.18;22.2467;0.0027;0.064;15.8494;5.8745;5.4801;21.134;11.3134;9.8295;4.984;3.2885
jun/00;0.11;-5.63;-2.28;-0.03;0.42;0.92;0.03;0.44;0.04;-0.19;2.68;22.0956;0.0058;0.0667;15.9228;5.8881;5.4978;21.1595;11.3156;9.84;4.9869;3.2936
jul/00;1.78;0;2.89;1.29;0.33;0.79;2.98;0.48;0.2;-0.25;7.61;22.068;0;0.0777;15.8822;5.8987;5.5346;21.1178;11.3388;9.8208;4.9655;3.3736
