"";"ref.date";"Total";"Pessoa Jurídica";"Pessoa Física";"Crédito Livres";"Créditos Direcionados"
"1";2011-03-01;215654;125022;90632;192480;23174
"2";2011-04-01;203722;117618;86104;181292;22430
"3";2011-05-01;227829;129405;98424;202150;25679
"4";2011-06-01;229876;132130;97746;200623;29253
"5";2011-07-01;222347;126754;95593;193708;28639
"6";2011-08-01;249440;142386;107054;216250;33191
"7";2011-09-01;233041;130645;102395;202974;30067
"8";2011-10-01;222498;124212;98285;195452;27045
"9";2011-11-01;241472;137630;103843;209103;32369
"10";2011-12-01;269534;159451;110083;229394;40141
"11";2012-01-01;214365;116230;98134;192708;21656
"12";2012-02-01;204149;111611;92539;182427;21723
"13";2012-03-01;241689;139145;102544;215826;25863
"14";2012-04-01;232678;131809;100869;207523;25155
"15";2012-05-01;255850;145295;110556;226037;29814
"16";2012-06-01;244247;141554;102693;214348;29899
"17";2012-07-01;242241;138465;103776;210938;31303
"18";2012-08-01;254479;144480;109999;215755;38724
"19";2012-09-01;235073;135395;99678;199684;35389
"20";2012-10-01;272112;153143;118968;231345;40766
"21";2012-11-01;255426;142492;112933;219250;36176
"22";2012-12-01;291095;170949;120146;233730;57365
"23";2013-01-01;239834;127202;112632;210573;29261
"24";2013-02-01;226768;123975;102793;196797;29971
"25";2013-03-01;253830;141873;111957;217079;36750
"26";2013-04-01;269990;146857;123133;229352;40638
"27";2013-05-01;285961;161430;124531;240857;45104
"28";2013-06-01;278819;158939;119879;224480;54339
"29";2013-07-01;266075;139441;126634;228693;37382
"30";2013-08-01;272139;144479;127660;227021;45118
"31";2013-09-01;268855;146550;122305;227163;41692
"32";2013-10-01;283201;152806;130395;239284;43918
"33";2013-11-01;272926;147856;125070;230368;42557
"34";2013-12-01;324165;182483;141683;262220;61946
"35";2014-01-01;258890;134191;124700;220684;38206
"36";2014-02-01;261076;138129;122947;221066;40010
"37";2014-03-01;269914;148677;121237;229414;40500
"38";2014-04-01;274446;147282;127163;233117;41329
"39";2014-05-01;281894;147222;134672;239948;41946
"40";2014-06-01;285440;154176;131264;237567;47873
"41";2014-07-01;273713;138134;135579;232139;41574
"42";2014-08-01;271693;138502;133190;225830;45862
"43";2014-09-01;295760;155267;140494;246191;49569
"44";2014-10-01;295130;148079;147051;247956;47174
"45";2014-11-01;275246;142273;132972;233007;42238
"46";2014-12-01;336989;182798;154191;278564;58424
"47";2015-01-01;258635;127678;130957;225064;33571
"48";2015-02-01;229875;115139;114736;203089;26785
"49";2015-03-01;291275;154414;136861;253029;38247
"50";2015-04-01;270008;140356;129652;233516;36492
"51";2015-05-01;268569;139693;128876;234794;33774
"52";2015-06-01;288714;155781;132932;246950;41764
"53";2015-07-01;270957;137705;133252;234452;36505
"54";2015-08-01;260543;128850;131692;224672;35871
"55";2015-09-01;275332;146433;128899;235886;39446
"56";2015-10-01;261153;136004;125149;226431;34722
"57";2015-11-01;267109;136284;130825;233154;33956
"58";2015-12-01;312270;171971;140300;265343;46927
"59";2016-01-01;221091;107005;114085;200658;20433
"60";2016-02-01;226223;108863;117361;205487;20736
"61";2016-03-01;260281;133022;127259;231281;29000
"62";2016-04-01;239653;118963;120691;211721;27932
"63";2016-05-01;254322;124728;129595;227095;27227
"64";2016-06-01;267408;134026;133381;229664;37744
"65";2016-07-01;234469;109760;124708;205877;28591
"66";2016-08-01;251986;115250;136737;221869;30117
"67";2016-09-01;247578;123879;123699;219440;28138
"68";2016-10-01;241097;112895;128202;216059;25038
"69";2016-11-01;256250;119709;136541;227695;28555
"70";2016-12-01;289468;145139;144329;249582;39886
"71";2017-01-01;232184;103319;128865;212483;19701
"72";2017-02-01;207477;93563;113914;187407;20070
"73";2017-03-01;274379;130131;144248;249510;24869
"74";2017-04-01;227886;104394;123492;202388;25499
"75";2017-05-01;260949;116359;144590;233296;27653
"76";2017-06-01;278300;134835;143465;244643;33657
"77";2017-07-01;240687;103482;137205;215887;24799
"78";2017-08-01;266033;119164;146869;236178;29854
"79";2017-09-01;251855;116090;135764;225178;26677
"80";2017-10-01;264017;117530;146487;236677;27340
"81";2017-11-01;271125;121881;149244;245740;25384
"82";2017-12-01;305726;156212;149514;273365;32361
"83";2018-01-01;255548;109916;145632;236917;18631
"84";2018-02-01;244817;114247;130570;227245;17572
"85";2018-03-01;281668;135803;145865;257883;23785
"86";2018-04-01;280100;132459;147641;255152;24948
"87";2018-05-01;283288;130953;152335;255651;27637
"88";2018-06-01;292071;142293;149778;261880;30190
"89";2018-07-01;278588;126784;151804;253479;25109
"90";2018-08-01;310499;142999;167501;274233;36266
"91";2018-09-01;277534;130191;147344;249207;28327
"92";2018-10-01;303446;136620;166826;274448;28998
"93";2018-11-01;308013;134463;173549;279941;28071
"94";2018-12-01;340794;170266;170527;303250;37544
"95";2019-01-01;284019;123927;160092;265018;19001
"96";2019-02-01;284219;128877;155342;262495;21724
"97";2019-03-01;297678;141651;156026;275999;21678
"98";2019-04-01;304796;135292;169504;281187;23609
"99";2019-05-01;329959;151259;178700;302157;27803
"100";2019-06-01;318959;151511;167448;287714;31245
"101";2019-07-01;328991;143206;185785;301318;27673
"102";2019-08-01;332306;149955;182352;299568;32738
"103";2019-09-01;339983;158531;181452;308321;31663
"104";2019-10-01;350479;156063;194416;317159;33320
"105";2019-11-01;347021;158561;188460;315868;31153
"106";2019-12-01;404624;197761;206862;372248;32376
"107";2020-01-01;321537;136708;184829;300555;20982
"108";2020-02-01;307431;139105;168326;287226;20205
"109";2020-03-01;395459;222571;172888;368253;27205
"110";2020-04-01;296609;155083;141526;265425;31184
"111";2020-05-01;285392;140475;144917;250692;34701
"112";2020-06-01;320959;155954;165005;282912;38047
"113";2020-07-01;343837;167514;176323;284563;59274
"114";2020-08-01;346119;162733;183386;280412;65708
"115";2020-09-01;368210;178364;189846;302329;65881
"116";2020-10-01;352349;154617;197732;305654;46695
"117";2020-11-01;377850;170903;206947;328150;49700
"118";2020-12-01;400455;189132;211323;350222;50233
"119";2021-01-01;295245;121679;173565;269964;25281
"120";2021-02-01;312779;137744;175035;284182;28597
"121";2021-03-01;405679;202318;203361;363210;42469
"122";2021-04-01;378275;173929;204346;338941;39334
"123";2021-05-01;400343;177787;222556;356084;44260
"124";2021-06-01;425657;198872;226785;376987;48669
"125";2021-07-01;417162;187027;230134;354128;63034
"126";2021-08-01;436395;188079;248316;378339;58056
"127";2021-09-01;449191;207012;242179;390480;58711
"128";2021-10-01;430616;191768;238849;383590;47027
"129";2021-11-01;462585;203338;259248;417600;44985
"130";2021-12-01;504276;244324;259952;455483;48794
"131";2022-01-01;409634;183827;225807;377331;32304
"132";2022-02-01;400575;190614;209962;366742;33833
"133";2022-03-01;513641;254570;259071;469275;44366
"134";2022-04-01;460442;209151;251290;421967;38474
"135";2022-05-01;504131;230578;273553;454728;49403
"136";2022-06-01;504541;234438;270103;445616;58924
"137";2022-07-01;488107;214505;273603;423604;64503
"138";2022-08-01;540845;240261;300584;457187;83658
"139";2022-09-01;528561;241836;286725;457379;71182
"140";2022-10-01;501444;215085;286359;441581;59863
"141";2022-11-01;509717;221187;288530;453869;55848
"142";2022-12-01;552165;263824;288341;493530;58635
"143";2023-01-01;467053;194684;272369;425274;41778
"144";2023-02-01;422452;178808;243645;384860;37593
"145";2023-03-01;527677;240795;286882;473719;53958
"146";2023-04-01;431945;182476;249469;396848;35097
