"";"ref.date";"Total";"PJ";"PF";"Livres";"Direcionados"
"1";2011-03-01;27,35;19,33;36,42;37,92;9,46
"2";2011-04-01;27,94;19,86;37,03;38,71;9,7
"3";2011-05-01;27,86;19,84;36,89;38,4;10,05
"4";2011-06-01;27,62;19,63;36,57;38,28;9,69
"5";2011-07-01;27,81;19,64;36,89;38,67;9,66
"6";2011-08-01;27,23;19,2;36,12;37,7;10
"7";2011-09-01;27,2;19,13;36,23;37,99;9,69
"8";2011-10-01;27,45;18,91;36,9;38,39;9,59
"9";2011-11-01;26,66;18,43;35,79;37,56;9,18
"10";2011-12-01;25,82;18,14;34,01;35,54;9,28
"11";2012-01-01;26,8;19,06;34,97;36,8;9,9
"12";2012-02-01;26,86;18,8;35,3;37,22;9,46
"13";2012-03-01;26,54;18,49;35,01;36,71;9,49
"14";2012-04-01;25,96;18,04;34,3;35,68;9,63
"15";2012-05-01;24,36;16,77;32,34;33,5;8,95
"16";2012-06-01;23,62;16,04;31,58;32,6;8,44
"17";2012-07-01;23,03;15,7;30,71;31,97;8
"18";2012-08-01;22,54;15,54;29,84;31,36;7,93
"19";2012-09-01;22,3;15,17;29,78;31,16;7,75
"20";2012-10-01;21,72;14,7;29,05;30,46;7,59
"21";2012-11-01;21,47;14,77;28,47;30,3;7,38
"22";2012-12-01;20,39;13,82;27,32;28,89;7,08
"23";2013-01-01;20,84;14,57;27,38;29,64;7,3
"24";2013-02-01;21,18;14,65;27,96;30,35;7,17
"25";2013-03-01;20,93;14,65;27,42;29,89;7,2
"26";2013-04-01;20,83;14,61;27,21;30;7,01
"27";2013-05-01;20,57;14,34;26,93;29,74;6,92
"28";2013-06-01;20,85;14,73;27,06;30,2;7,09
"29";2013-07-01;21,28;14,96;27,62;30,98;7,14
"30";2013-08-01;21,46;15,2;27,73;31,49;7,13
"31";2013-09-01;21,61;15,27;28,01;31,76;7,21
"32";2013-10-01;21,98;15,39;28,62;32,37;7,39
"33";2013-11-01;22,21;15,73;28,71;32,84;7,46
"34";2013-12-01;21,87;15,64;28,19;32,37;7,45
"35";2014-01-01;22,84;16,52;29,18;34;7,88
"36";2014-02-01;23,38;16,62;30,14;35,3;7,6
"37";2014-03-01;23,53;16,53;30,53;35,45;7,93
"38";2014-04-01;23,41;16,68;30,14;35,32;8
"39";2014-05-01;23,59;16,81;30,34;35,58;8,2
"40";2014-06-01;23,46;16,37;30,5;35,79;7,79
"41";2014-07-01;23,7;16,66;30,66;36,06;8,16
"42";2014-08-01;23,61;16,43;30,67;36,16;8,1
"43";2014-09-01;23,26;16,46;29,95;35,63;8,14
"44";2014-10-01;23,79;16,67;30,75;36,85;7,96
"45";2014-11-01;23,87;16,66;30,87;37,13;7,91
"46";2014-12-01;23,39;16,6;30,02;36,41;7,78
"47";2015-01-01;24,6;17,54;31,39;38,32;8,37
"48";2015-02-01;25,32;18,13;32,23;39,77;8,31
"49";2015-03-01;25,51;18,2;32,51;39,94;8,55
"50";2015-04-01;26,13;18,64;33,24;40,91;8,84
"51";2015-05-01;26,73;18,85;34,18;41,79;9,1
"52";2015-06-01;27,25;19,19;34,87;42,6;9,27
"53";2015-07-01;28,05;19,74;35,81;43,54;9,95
"54";2015-08-01;28,55;20,17;36,37;44,5;10,01
"55";2015-09-01;29,06;20,73;36,85;45,56;9,8
"56";2015-10-01;29,85;21,17;37,9;46,83;10,13
"57";2015-11-01;30,13;21,29;38,25;47,42;10,14
"58";2015-12-01;29,38;20,77;37,36;46,3;9,74
"59";2016-01-01;31,03;22,49;38,87;48,78;10,71
"60";2016-02-01;31,52;22,74;39,46;49,88;10,64
"61";2016-03-01;31,71;22,21;40,19;50,07;10,93
"62";2016-04-01;32,13;22;41,02;51,21;10,71
"63";2016-05-01;32,23;21,68;41,39;51,12;11,07
"64";2016-06-01;32,08;21,68;41,05;50,93;11,04
"65";2016-07-01;32,54;22,18;41,32;51,6;11,54
"66";2016-08-01;32,69;22,25;41,41;52,1;11,43
"67";2016-09-01;32,71;21,48;42,05;52,43;11,19
"68";2016-10-01;32,99;21,8;42,24;53,06;11,03
"69";2016-11-01;32,8;21,21;42,27;52,95;10,76
"70";2016-12-01;31,81;20,29;41,18;50,99;10,79
"71";2017-01-01;32,54;21,39;41,41;52;11,49
"72";2017-02-01;31,78;20,42;40,71;52,2;9,91
"73";2017-03-01;31,72;20,32;40,58;51,23;10,7
"74";2017-04-01;29,82;19,48;37,83;48,3;10,02
"75";2017-05-01;28,74;19,27;35,98;45,82;10,45
"76";2017-06-01;28,52;18,89;35,78;45,48;10,32
"77";2017-07-01;28,95;19,11;36,33;46,52;10,15
"78";2017-08-01;28,47;18,88;35,51;45,59;10,07
"79";2017-09-01;26,85;17,62;33,57;42,93;9,44
"80";2017-10-01;27,36;18,36;33,84;43,24;10,05
"81";2017-11-01;26,82;17,89;33,17;42,58;9,41
"82";2017-12-01;25,49;16,96;31,55;40,01;9,2
"83";2018-01-01;25,98;17,81;31,88;40,73;9,76
"84";2018-02-01;26,56;17,86;32,77;41,71;9,93
"85";2018-03-01;25,88;16,55;32,53;40,99;9,16
"86";2018-04-01;25,61;15,95;32,48;40,63;8,76
"87";2018-05-01;24,64;15,79;30,9;38,76;8,6
"88";2018-06-01;24,31;15,59;30,46;38,06;8,48
"89";2018-07-01;24,14;15,86;29,99;37,66;8,44
"90";2018-08-01;24,1;15,87;29,85;37,49;8,48
"91";2018-09-01;24,09;15,83;29,79;37,47;8,16
"92";2018-10-01;24,38;16,19;29,94;37,64;8,44
"93";2018-11-01;24,37;15,98;29,98;37,52;8,34
"94";2018-12-01;23,05;14,87;28,62;35,18;8,12
"95";2019-01-01;24,46;16,26;29,98;37,15;8,78
"96";2019-02-01;24,79;15,96;30,61;37,93;8,49
"97";2019-03-01;25,07;15,94;31,08;38,31;8,58
"98";2019-04-01;25,13;15,98;31,08;38,29;8,43
"99";2019-05-01;24,96;15,75;30,94;37,86;8,51
"100";2019-06-01;24,85;15,07;31,1;37,58;8,26
"101";2019-07-01;24,74;15,18;30,79;37,37;8,07
"102";2019-08-01;24,85;15,07;30,92;37,16;8,4
"103";2019-09-01;24,07;14,18;30,22;35,98;8,01
"104";2019-10-01;23,58;14,09;29,45;35,18;7,74
"105";2019-11-01;23,66;13,82;29,7;35,49;7,47
