"";"ref.date";"Amortização";"Juros";"Serviço";"Servicos ex-habit";"Endividamento";"Endividamento ex-habit"
"1";2005-03-01;13,8;5,8;19,6;19,21;20,11;17,02
"2";2005-04-01;13,96;5,89;19,85;19,45;20,55;17,46
"3";2005-05-01;14,17;6,01;20,18;19,77;20,94;17,86
"4";2005-06-01;14,28;6,08;20,36;19,95;21,14;18,05
"5";2005-07-01;14,34;6,18;20,52;20,11;21,42;18,33
"6";2005-08-01;14,42;6,36;20,78;20,36;21,89;18,79
"7";2005-09-01;14,89;6,57;21,46;21;22,21;19,1
"8";2005-10-01;15,17;6,73;21,9;21,48;22,52;19,39
"9";2005-11-01;15,2;6,7;21,9;21,47;22,78;19,65
"10";2005-12-01;14,94;6,72;21,66;21,23;22,69;19,53
"11";2006-01-01;14,76;6,74;21,5;21,05;23,12;19,92
"12";2006-02-01;14,96;6,8;21,76;21,32;23,35;20,16
"13";2006-03-01;15,49;6,87;22,36;21,93;23,77;20,53
"14";2006-04-01;15,73;6,95;22,68;22,24;24,16;20,88
"15";2006-05-01;15,7;6,96;22,66;22,22;24,47;21,17
"16";2006-06-01;15,76;6,99;22,75;22,28;24,63;21,27
"17";2006-07-01;15,71;7,01;22,72;22,27;24,89;21,49
"18";2006-08-01;15,8;7,15;22,95;22,49;25,2;21,78
"19";2006-09-01;15,75;7,05;22,8;22,34;25,29;21,88
"20";2006-10-01;15,79;7,06;22,85;22,4;25,42;21,98
"21";2006-11-01;15,74;7;22,74;22,27;25,71;22,24
"22";2006-12-01;15,83;7,22;23,05;22,57;25,72;22,21
"23";2007-01-01;15,66;7,28;22,94;22,46;26,14;22,56
"24";2007-02-01;15,62;7,31;22,93;22,46;26,43;22,84
"25";2007-03-01;15,38;7,25;22,63;22,19;25,98;22,48
"26";2007-04-01;15,18;7,34;22,52;22,05;26,45;22,92
"27";2007-05-01;14,91;7,42;22,33;21,86;27,13;23,55
"28";2007-06-01;15,12;7,53;22,65;22,16;27,43;23,82
"29";2007-07-01;15,34;7,64;22,98;22,5;28,07;24,43
"30";2007-08-01;15,55;7,78;23,33;22,84;28,4;24,71
"31";2007-09-01;15,61;7,74;23,35;22,86;28,7;24,96
"32";2007-10-01;15,66;7,73;23,39;22,91;29,46;25,68
"33";2007-11-01;15,76;7,71;23,47;22,97;29,9;26,07
"34";2007-12-01;15,7;7,7;23,4;22,89;30,03;26,15
"35";2008-01-01;15,64;7,74;23,38;22,86;30,37;26,48
"36";2008-02-01;15,9;7,86;23,76;23,26;30,64;26,72
"37";2008-03-01;16,23;7,95;24,18;23,69;31,24;27,26
"38";2008-04-01;16,42;8,03;24,45;23,94;31,77;27,72
"39";2008-05-01;16,47;8,05;24,52;24,01;32,21;28,1
"40";2008-06-01;16,49;8,1;24,59;24,07;32,37;28,18
"41";2008-07-01;16,47;8,15;24,62;24,1;32,67;28,4
"42";2008-08-01;16,47;8,22;24,69;24,17;32,75;28,39
"43";2008-09-01;16,56;8,31;24,87;24,33;32,95;28,49
"44";2008-10-01;16,59;8,45;25,04;24,49;33,39;28,85
"45";2008-11-01;16,61;8,55;25,16;24,59;33,02;28,4
"46";2008-12-01;16,69;8,62;25,31;24,71;33,05;28,35
"47";2009-01-01;16,67;8,61;25,28;24,67;32,92;28,16
"48";2009-02-01;16,8;8,65;25,45;24,83;32,91;28,1
"49";2009-03-01;17,01;8,69;25,7;25,12;33,09;28,19
"50";2009-04-01;17,15;8,72;25,87;25,27;33,34;28,35
"51";2009-05-01;17,41;8,7;26,11;25,53;33,77;28,67
"52";2009-06-01;17,72;8,66;26,38;25,77;34,03;28,8
"53";2009-07-01;17,92;8,59;26,51;25,89;34,25;28,87
"54";2009-08-01;18,03;8,58;26,61;25,99;34,57;29,02
"55";2009-09-01;18,05;8,55;26,6;25,96;35;29,29
"56";2009-10-01;18,22;8,53;26,75;26,09;35,2;29,39
"57";2009-11-01;18,31;8,5;26,81;26,12;35,37;29,53
"58";2009-12-01;18,46;8,49;26,95;26,23;35,84;29,85
"59";2010-01-01;18,57;8,5;27,07;26,33;36,3;29,99
"60";2010-02-01;18,65;8,5;27,15;26,35;36,41;29,99
"61";2010-03-01;18,59;8,35;26,94;26,21;36,83;30,24
"62";2010-04-01;18,69;8,32;27,01;26,24;37,19;30,42
"63";2010-05-01;18,84;8,38;27,22;26,49;37,72;30,77
"64";2010-06-01;19;8,5;27,5;26,73;37,96;30,82
"65";2010-07-01;19,01;8,55;27,56;26,79;38,63;31,28
"66";2010-08-01;19,07;8,56;27,63;26,85;38,97;31,43
"67";2010-09-01;19,18;8,57;27,75;26,93;39,33;31,58
"68";2010-10-01;19,28;8,56;27,84;27;39,69;31,8
"69";2010-11-01;19,54;8,63;28,17;27,31;40,22;32,14
"70";2010-12-01;19,74;8,74;28,48;27,55;40,71;32,4
"71";2011-01-01;19,98;8,85;28,83;27,88;40,88;32,44
"72";2011-02-01;20,08;8,95;29,03;28,04;41,06;32,46
"73";2011-03-01;20,15;9,03;29,18;28,12;41,9;33,12
"74";2011-04-01;19,98;9,06;29,04;27,79;41,99;33,11
"75";2011-05-01;19,82;9,06;28,88;27,49;42,28;33,18
"76";2011-06-01;19,57;9,01;28,58;27,14;42,59;33,25
"77";2011-07-01;19,41;8,96;28,37;26,93;42,74;33,16
"78";2011-08-01;19,61;9,07;28,68;27,21;43,48;33,42
"79";2011-09-01;19,82;9,23;29,05;27,5;43,79;33,59
"80";2011-10-01;20,16;9,46;29,62;28,02;44,02;33,63
"81";2011-11-01;20,09;9,45;29,54;27,93;44,24;33,66
"82";2011-12-01;20,03;9,45;29,48;27,81;44,33;33,58
"83";2012-01-01;19,93;9,39;29,32;27,66;44,57;33,64
"84";2012-02-01;19,8;9,35;29,15;27,48;44,36;33,35
"85";2012-03-01;19,94;9,42;29,36;27,69;44,63;33,37
"86";2012-04-01;19,94;9,41;29,35;27,65;44,83;33,39
"87";2012-05-01;20,06;9,41;29,47;27,8;44,99;33,41
"88";2012-06-01;20,05;9,37;29,42;27,72;45,44;33,58
"89";2012-07-01;20,03;9,25;29,28;27,57;45,71;33,62
"90";2012-08-01;20,08;9,17;29,25;27,54;45,84;33,53
