"";"ref.date";"Cambio"
"1";2003-01-01;3,4376
"2";2003-02-01;3,59
"3";2003-03-01;3,4461
"4";2003-04-01;3,1179
"5";2003-05-01;2,9549
"6";2003-06-01;2,8824
"7";2003-07-01;2,879
"8";2003-08-01;3,0017
"9";2003-09-01;2,922
"10";2003-10-01;2,8607
"11";2003-11-01;2,913
"12";2003-12-01;2,9245
"13";2004-01-01;2,851
"14";2004-02-01;2,9295
"15";2004-03-01;2,9047
"16";2004-04-01;2,9052
"17";2004-05-01;3,0996
"18";2004-06-01;3,1283
"19";2004-07-01;3,036
"20";2004-08-01;3,0021
"21";2004-09-01;2,8903
"22";2004-10-01;2,8521
"23";2004-11-01;2,7852
"24";2004-12-01;2,7174
"25";2005-01-01;2,6922
"26";2005-02-01;2,597
"27";2005-03-01;2,7039
"28";2005-04-01;2,5784
"29";2005-05-01;2,452
"30";2005-06-01;2,4127
"31";2005-07-01;2,3727
"32";2005-08-01;2,3598
"33";2005-09-01;2,2936
"34";2005-10-01;2,2557
"35";2005-11-01;2,21
"36";2005-12-01;2,2847
"37";2006-01-01;2,2731
"38";2006-02-01;2,1611
"39";2006-03-01;2,1512
"40";2006-04-01;2,1285
"41";2006-05-01;2,1773
"42";2006-06-01;2,2475
"43";2006-07-01;2,1885
"44";2006-08-01;2,1551
"45";2006-09-01;2,1679
"46";2006-10-01;2,1475
"47";2006-11-01;2,1571
"48";2006-12-01;2,1491
"49";2007-01-01;2,1377
"50";2007-02-01;2,0955
"51";2007-03-01;2,0879
"52";2007-04-01;2,0312
"53";2007-05-01;1,9808
"54";2007-06-01;1,9311
"55";2007-07-01;1,882
"56";2007-08-01;1,9652
"57";2007-09-01;1,8988
"58";2007-10-01;1,8002
"59";2007-11-01;1,7691
"60";2007-12-01;1,7852
"61";2008-01-01;1,7735
"62";2008-02-01;1,7269
"63";2008-03-01;1,7068
"64";2008-04-01;1,6881
"65";2008-05-01;1,6597
"66";2008-06-01;1,6181
"67";2008-07-01;1,5906
"68";2008-08-01;1,6115
"69";2008-09-01;1,7988
"70";2008-10-01;2,1721
"71";2008-11-01;2,2655
"72";2008-12-01;2,3936
