;Contratados;Demitidos;Saldo_Total;Contratados_Agro;Demitidos_Agro;Saldo_Agro;Contratados_Uva;Demitidos_Uva;Saldo_uva;Contratados_Manga;Demitidos_Manga;Saldo_Manga
jan/21;4798;3529;1269;1977;1568;409;1407;932;475;349;482;-133
fev/21;5396;3168;2228;2448;1213;1235;1620;813;807;535;275;260
mar/21;6212;4350;1862;3031;1871;1160;1665;1290;375;1025;416;609
abr/21;4858;4046;812;2322;2119;203;1209;1533;-324;818;402;416
mai/21;6419;3833;2586;2095;1784;311;1121;1199;-78;770;415;355
jun/21;5908;3944;1964;2900;2017;883;1897;1340;557;780;462;318
jul/21;7135;3743;3392;3950;1755;2195;2095;950;1145;1412;558;854
ago/21;8879;3984;4895;5624;1749;3875;2893;938;1955;2108;631;1477
set/21;8778;5080;3698;5674;2593;3081;3578;1473;2105;1768;940;828
out/21;6375;5786;589;2803;3345;-542;1559;1910;-351;1005;1121;-116
nov/21;5458;9650;-4192;1952;6401;-4449;1268;3825;-2557;545;1983;-1438
dez/21;4865;9549;-4684;1979;4854;-2875;1352;2371;-1019;509;2082;-1573
jan/22;6681;5439;1242;2912;2819;93;2070;1841;229;516;742;-226
fev/22;6473;4982;1491;2797;2039;758;1903;1295;608;687;610;77
mar/22;6467;6374;93;2899;2947;-48;1409;1983;-574;1152;728;424
abr/22;6124;5870;254;2372;3061;-689;1451;1977;-526;749;781;-32
mai/22;8160;5553;2607;2874;2455;419;1838;1535;303;841;676;165
jun/22;6775;5636;1139;3111;2931;180;2212;1928;284;683;738;-55
jul/22;7260;5179;2081;3938;2256;1682;2201;1319;882;1381;752;629
ago/22;9038;5958;3080;5545;2549;2996;2636;1579;1057;2253;719;1534
set/22;8071;5639;2432;4824;2789;2035;3104;1627;1477;1370;913;457
out/22;7126;7385;-259;3914;3722;192;2475;2137;338;1288;1218;70
nov/22;5766;9422;-3656;2643;4735;-2092;1652;2844;-1192;830;1508;-678
dez/22;4387;9703;-5316;1988;5772;-3784;1434;3013;-1579;338;2409;-2071
jan/23;5735;6190;-455;2793;3187;-394;2213;2284;-71;352;715;-363
fev/23;5709;5896;-187;2650;2111;539;1852;1484;368;559;494;65
mar/23;6900;6477;423;3325;3225;100;2081;2353;-272;887;607;280
abr/23;7457;5844;1613;3150;3111;39;2087;2245;-158;829;581;248
mai/23;7317;5968;1349;3589;2839;750;2535;1996;539;647;576;71
jun/23;7178;6362;816;3725;3356;369;2563;2479;84;848;639;209
